1,阿寒国際ツルセンター グルス,アカンコクサイツルセンター グルス,あかんこくさいつるせんたー ぐるす,1,1,1,北海道釧路市阿寒町上阿寒23線40,https://aiccgrus.wixsite.com/aiccgrus,43.14336524,144.1490158,約2種,,"タンチョウ,マナヅル",給餌が行われる冬期間(11~3月)は、間近で野生のタンチョウを観察できる。
2,旭山市 旭山動物園,アサヒヤマシ アサヒヤマドウブツエン,あさひやまし あさひやまどうぶつえん,1,1,1,北海道旭川市東旭川町倉沼,http://www.city.asahikawa.hokkaido.jp/asahiyamazoo/,43.76851214,142.4801024,約110種650点,,"ホッキョクグマ,アミメキリン,シンリンオオカミ,ボルネオオラウータン…","動物の生態を引き出す放飼場,各飼育係が作成している解説看板が魅力的。"
3,えこりん村 みどりの牧場,エコリンムラ ミドリノボクジョウ,えこりんむら みどりのぼくじょう,1,1,1,北海道恵庭市牧場277-4,http://www.ecorinvillage.com/,42.87198521,141.5470565,"約6種1,000頭",,"アルパカ,ラマ,ミニチュアホース,ヒツジ…","動物とのふれあいを楽しめる牧場に加えて、キャンプ場,バラ畑などがある。世界一大きなトマトの木(2013年認定)がある。"
4,おびひろ動物園,オビヒロドウブツエン,おびひろどうぶつえん,1,1,1,北海道帯広市緑ヶ丘2,https://www.city.obihiro.hokkaido.jp/zoo/,42.90130709,143.1847858,約67種337点,,"エゾタヌキ,キタキツネ,アミメキリン,ゴマフアザラシ…",北海道十勝の自然や気候を生かした動物展示。小動物や家畜動物とのふれあいによる学習機会を提供している。
5,北きつね牧場,キタキツネボクジョウ,きたきつねぼくじょう,1,1,1,北海道北見市留辺蘂町花丘52-1,https://kitakitsune-farm.com/,43.75591505,143.4978132,約2種50頭,,"エゾタヌキ,キタキツネ",放し飼いエリアにエゾタヌキとキタキツネが一緒に生活している。エリア内で間近に観察ができる。
6,釧路市動物園,クシロシドウブツエン,くしろしどうぶつえん,1,1,1,北海道釧路市阿寒町下仁々志別11,https://www.city.kushiro.lg.jp/zoo/,43.08131856,144.2365224,約54種334点,,"レッサーパンダ,エゾモモンガ,エゾクロテン,チンパンジー…","ライオン,アムールトラ,アミメキリンなどの大型動物や、北海道の地域動物まで幅広い動物を飼育している。"
7,札幌市 円山動物園,サッポロシ マルヤマドウブツエン,さっぽろし まるやまどうぶつえん,1,1,1,北海道札幌市中央区宮ケ丘3-1,https://www.city.sapporo.jp/zoo/,43.05151509,141.307803,約170種900点,,"アジアゾウ,オオワシ,エゾヒグマ,ネザーランドドワーフ…",北海道最大規模の動物園。札幌に近い立地だが、広い公園に囲まれ自然が豊かである。
8,サホロリゾート ベア・マウンテン,サホロリゾート ベア・マウンテン,さほろりぞーと べあ・まうんてん,1,1,1,北海道上川郡新得町新内西6線158,https://bear-mt.jp/,43.17815487,142.8077519,約1種20頭,,ヒグマ,1日10回以上運行しているベアウォッチングバスが人気。ガラス張りの施設で観察できるヒグマは圧巻の迫力。
9,昭和新山熊牧場,ショウワシンザンクマボクジョウ,しょうわしんざんくまぼくじょう,1,1,1,北海道有珠郡壮瞥町昭和新山183,https://kumakuma.co.jp/,42.53880951,140.8612505,約2種100頭,,"ツキノワグマ,アライグマ",日本一のツキノワグマ飼育数を誇る。こぐまの展示にも力を入れている。
10,のぼりべつクマ牧場,ノボリベツクマボクジョウ,のぼりべつくまぼくじょう,1,1,1,北海道登別市登別温泉町224,https://bearpark.jp/,42.49286221,141.144534,約6種70頭,,"ヒグマ,エゾヒグマ,ツキノワグマ,アヒル…",四方嶺山頂の施設なので唯一の交通手段であるゴンドラリフトを利用する。日本一丸い湖と言われる[倶多楽湖(くったらこ)]に程近い。
11,ノーザンホースパーク,ノーザンホースパーク,のーざんほーすぱーく,1,1,1,北海道苫小牧市美沢114-7,https://www.northern-horsepark.jp/,42.77871243,141.7391008,約12種80頭,,"引退競走馬,馬,ポニー",馬の魅力を身近に感じることができる。引退した競走馬に会える稀有な施設。
12,ノースサファリサッポロ,ノースサファリサッポロ,のーすさふぁりさっぽろ,1,1,1,北海道札幌市南区豊滝469-1,https://www.north-safari.com/,42.94700604,141.2231334,約138種500点,,"ライオン,プチハイエナ,グラントシマウマ,オオカンガルー…",[体験型テーマパーク]というコンセプトで動物とのふれあいに力を入れている。動物の側で宿泊ができるアニマルグランピングが人気。
